Title,Cost,Description,Effect,Ego,Morph,Skills,Stats,Coditional,Source
Adaptability (Level 1),10,Resleeving is a breeze for this character. They adjust to new morphs much more quickly than most other people. Apply a +10 modifier for Integration Tests (p. 271) and Alienation Tests (p. 272).,+10 to Integration and Alienation tests,TRUE,TRUE,,,FALSE,
Adaptability (Level 2),20,See Level 1. Apply an additional +10 modifier for Integration Tests (p. 271) and Alienation Tests (p. 272).,+20 to Integration and Alienation tests,TRUE,TRUE,,,FALSE,
Addiction (Major),-20,"Addiction comes in two forms: mental (affecting the ego) and physical (affecting the biomorph). The character or morph is addicted to a drug (p. 317), stimulus (XP), or activity (mesh use) to a degree that impacts the character's physical or mental health. Players and gamemasters should work together to agree on addictions that are appropriate for their game. Addiction comes in three levels of severity: minor, moderate, or major: Major: A character with a major addiction is on the rapid road to ruin. They face cravings every 6 hours, and suffer a -10 DUR penalty as their health is affected. If they fail to get their regular dosage, they suffer a -30 modifier on all actions until they do. If their life hasn't already been ruined by their obsession, it soon will be.",-30 to all actions without drugs,TRUE,TRUE,,,FALSE,
Addiction (Minor),-5,"Addiction comes in two forms: mental (affecting the ego) and physical (affecting the biomorph). The character or morph is addicted to a drug (p. 317), stimulus (XP), or activity (mesh use) to a degree that impacts the character's physical or mental health. Players and gamemasters should work together to agree on addictions that are appropriate for their game. Addiction comes in three levels of severity: minor, moderate, or major: Minor: A minor addiction is largely kept under control-it does not ruin the character's life, though it may create some difficulties. The character may not even recognize or admit they have a problem. The character must indulge the addiction at least once a week, though they can go for longer without too much difficulty. If they fail to get their weekly dose, they suffer a -10 modifier on all actions until they get their fix.",-10 to all actions without drugs,FALSE,TRUE,,,FALSE,
Addiction (Moderate),-10,"Addiction comes in two forms: mental (affecting the ego) and physical (affecting the biomorph). The character or morph is addicted to a drug (p. 317), stimulus (XP), or activity (mesh use) to a degree that impacts the character's physical or mental health. Players and gamemasters should work together to agree on addictions that are appropriate for their game. Addiction comes in three levels of severity: minor, moderate, or major: Moderate: A moderate addiction is in full swing. The character obviously has a problem, and must satisfy the addiction at least once a day. If they fail to do so, they may suffer mood swings, compulsive behavior, physical sickness, or other side effects until they indulge their craving. Apply a -20 modifier to all of the character's actions until they get their fix. Additionally, a character with this level of addiction suffers a -5 DUR penalty.",-20 to all actions without drugs,FALSE,TRUE,,,FALSE,
Aggressive GRM,-10,"This trait is generally only found on uplift biomorphs, but might be included on any unusual high-end or custom biomorphs. A much more aggressive version of the genetic rights management used in rusters and other morphs that require maintenance through GSPs (see Planned Obsolescence, p. 165, Sunward), the genehacking used in creating this morph is atypical and includes many sections of suppressed effects and potential problems that make it difficult for anyone not familiar with the initial design to modify the morph. Unless unlocked by the designer through further genehacking, this morph is sterile, and will reject any biomods not listed as standard for the morph. Worse, due to the extensive and limiting manipulation of the morph's DNA, it is much more prone to cancers and longevity issues than other morphs and has an average life expectancy of only 30-40 years. At the gamemaster's discretion, Medicine Tests to modify or even heal this morph may suffer modifiers ranging from -10 to -30.",,FALSE,TRUE,,,FALSE,
AGI Affinity,5,"The character has spent a significant amount of time around AGIs, to the point where socializing with an AGI is far easier. The character gains a +10 modifier on Social Skill Tests against AGIs as well as characters with the Real World Naiveté trait.",+10 to AGI social tests,TRUE,FALSE,,,FALSE,
AGI Socialization,10,"Only AGI characters may take this trait and only during character generation. The character is more adept at interpreting social cues than the average infolife. The character gains a +10 bonus on all Kinesics Tests made against transhumans. This bonus does not apply to other AGIs, uplifts, aliens, or exsurgents.",+10 Kinesics against transhumans,TRUE,FALSE,,,FALSE,
Alien Biochemistry,0,"It is an impressive feat that creatures that evolved on separate worlds with different biochemistries are now being transformed into pods by transhuman geneticists. In fact, the biochemistries of these creatures are far less understood than that of transhumans. What this means is that drugs, chemicals, bioware augmentations, and cybernetic implants may have unpredictable effects on the pod. Drug treatments beneficial to transhumans may not function at all, for example, while something that transhumans regularly eat or handle may in fact be toxic to the pod and trigger an anaphylactic response. The gamemaster decides when this factor will play a role, based on the pod biochemistry's similarity to that of transhumans and numerous other factors. Certain augmentations may simply not be available, having not yet been invented for the alien physiology in question. While efforts have been made to provide these pods with their equivalent of basic biomods, the full protections offered by those enhancements may simply not be available. This means that the pod may or may not be vulnerable to such things as disease, aging, lack of sleep, long-term exposure to microgravity, shock from injuries, allergies, or other biological problems that transhumanity has attempted to eradicate. Likewise, the pod might not be able to heal quickly or regenerate limbs. It is also possible that the pod may be burdened with unusual biological problems inherent to its species, such as bizarre gastrointestinal issues, hacking up hairballs, respiratory distress, or an alien version of leukemia. Gamemasters are encouraged to be inventive. Morphs with alien biochemistry count as exotic and inflict -30 modifiers to Alienation and Integrity Tests (p. 272, EP). This trait is only available to pods created from alien life.",,FALSE,TRUE,,,FALSE,
Allies,30,"The character is part of or has a relationship with some influential group that they can occasionally call on for support. For example, this could be their old gatecrashing crew, former research lab co-workers, a criminal cartel they are part of, or an elite social clique. The gamemaster and player should work out what the characters relationship is with this group, and why the character can call on them for aid. Gamemasters should take care that these allies are not abused, such as calling on them more than once per game session. The characters ties to this group are also a two-way streetthey will be expected to perform duties for the group on occasion as well (a potential plot seed for scenarios).",,TRUE,FALSE,,,FALSE,
